id,ProlificID,Time,Date,Zip,State_full,State,Age,Sex,Preexisting,PerceptionRisk,PFIaffectNeigh,PFINeigh1,PFINeigh6,PFIcountry1,PFIcountry6,WillingnessNeigh,NBTneigh,WillingnessCountry,NBTcountry,InfectedCovid,InfectedCovidLatest,Vaccine
43,57223b1c01ed330011374d93,1,09/26/2020,85254,Arizona,AZ,61,1,2,2,6.25,5,3,5,5,2,7,2,6,2,1,1
44,57309f6b30a556000fecdd47,1,09/26/2020,80301,Colorado,CO,40,1,1,5,3.75,4,3,3,4,3,5,3,6,0,1,5
45,574cca765e5491000f3c89e0,1,09/26/2020,92821,California,CA,59,1,2,3,5.25,5,3,7,5,2,3,2,5,0,1,5
46,574ce0a57fd0ec000db73aa6,1,09/26/2020,73568,Oklahoma,OK,69,2,1,4,1,1,1,5,4,1,1,3,4,0,1,7
47,574eab79c18847000e071119,1,09/26/2020,77077,Texas,TX,39,2,2,5,6.5,7,6,7,7,5,7,5,6,0,1,2
48,5761c23632676f0007eb36b3,1,09/26/2020,76107,Texas,TX,30,1,1,2,4.25,4,2,5,3,3,5,3,5,2,2,5
49,5767349075905c00018d6a98,1,09/26/2020,28557,North Carolina,NC,44,1,1,7,5.25,5,3,3,2,5,7,4,6,0,0,4
50,579f1d3bc9abeb0001af52d8,1,09/26/2020,20770,Maryland,MD,38,1,2,5,5,5,4,4,4,1,7,1,7,0,1,7
51,57a08ec3dcff7d0001c7ce99,1,09/26/2020,64112,Missouri,MO,38,2,1,3,5,5,3,4,2,2,5,2,4,0,1,6
52,57af9cdda169b50001a434e3,1,09/26/2020,60560,Illinois,IL,39,2,1,6,3.25,2,1,5,3,1,5,1,4,2,2,1
53,57bf14513c449a000189c89a,1,09/26/2020,60502,Illinois,IL,67,1,2,2,5.75,6,4,5,3,4,5,2,3,0,1,6
54,57dd766bbcd7150001ded5de,1,09/26/2020,19444,Pennsylvania,PA,51,1,1,2,4.5,4,3,5,3,4,7,4,7,0,1,7
55,57e7bb4e73e67300012b8e2a,1,09/26/2020,72117,Arkansas,AR,52,2,2,3,6.25,7,5,7,4,7,7,7,7,0,1,7
56,5800e50de3536e00012840f4,1,09/26/2020,13367,New York,NY,63,2,1,3,3.75,3,3,3,4,4,5,4,6,0,1,2
57,580bea98827ca10001db514e,1,09/26/2020,2472,Massachusetts,MA,51,1,1,5,3.75,4,3,5,3,3,5,1,5,0,1,5
58,580cab86b869700001d71628,1,09/26/2020,19104,Pennsylvania,PA,57,2,2,,3.25,4,1,5,4,1,1,1,4,0,1,7
59,582afed4ce3a0e00010b3245,1,09/26/2020,15206,Pennsylvania,PA,67,2,2,3,6.25,5,3,6,4,2,4,2,4,0,1,4
60,58642f4de16d530001b34622,1,09/26/2020,83204,Idaho,ID,60,1,2,3,4.25,6,3,5,5,1,5,2,5,0,1,6
61,58644414ac950900013dda4b,1,09/26/2020,90210,California,CA,48,2,1,4,3.75,4,2,7,2,2,3,1,2,0,1,6
62,5869dec37fbbcd00013974e2,1,09/26/2020,27704,North Carolina,NC,25,2,1,,4,4,2,6,4,4,7,5,5,0,1,4
63,587c0271bcf74400012d5120,1,09/26/2020,36862,Alabama,AL,31,2,1,3,2.25,2,2,5,5,3,4,2,4,0,1,5
64,5898b6e256357700011c2c6b,1,09/26/2020,46237,Indiana,IN,63,1,1,1,6,6,2,6,3,3,4,2,4,0,1,3
65,58a202ac66e4640001c52bfd,1,09/26/2020,94086,California,CA,50,1,1,4,4.5,4,3,6,5,2,5,2,4,0,1,5
66,58a2952076c5b7000166150a,1,09/26/2020,25813,West Virginia,WV,63,2,1,3,6.5,7,6,7,5,7,7,7,6,0,1,2
67,58a50aebbb9e0f0001aca2a7,1,09/26/2020,40517,Kentucky,KY,42,1,1,5,4.75,5,5,4,5,4,6,4,5,0,1,2
68,58c376f9efb64f0001358464,1,09/26/2020,93705,California,CA,45,2,2,4,5.25,7,7,7,7,1,7,1,3,0,1,1
69,58d9a79c33fef3000118abdf,1,09/26/2020,606,Puerto Rico,PR,31,1,2,2,2.5,1,1,1,1,1,4,1,4,0,1,1
70,58e558cc728bea0001bbda24,1,09/26/2020,28792,North Carolina,NC,63,2,1,4,4.25,4,3,4,4,1,4,1,4,0,1,1
71,5909955b9e26f200016e1247,1,09/26/2020,95319,California,CA,59,2,1,6,5.75,6,4,6,4,1,5,1,6,0,2,4
72,591f1850a940aa0001f1c20c,1,09/26/2020,36088,Alabama,AL,21,2,1,3,4.75,5,3,4,3,2,5,2,4,0,1,4
73,59349d79f1b3f00001964d04,1,09/26/2020,37312,Tennessee,TN,61,2,2,3,5.25,4,1,5,2,4,5,2,5,0,1,3
74,5938b3563e8fb80001922beb,1,09/26/2020,20751,Maryland,MD,29,1,1,5,3,4,2,7,3,6,7,2,5,0,1,7
75,593ab35d51244c00013dcb69,1,09/26/2020,90601,California,CA,54,1,1,2,4.75,6,2,6,3,2,2,2,5,0,1,6
76,593dfb9ea2bf080001ed3b65,1,09/26/2020,47421,Indiana,IN,26,1,2,3,3.5,1,5,2,2,1,5,1,4,0,1,7
77,594d09b72d8f240001481113,1,09/26/2020,5403,Vermont,VT,71,1,2,4,4.75,5,4,6,5,3,6,3,6,0,1,4
78,59565b1bbbb52400017ad4e1,1,09/26/2020,2152,Massachusetts,MA,49,2,1,7,2.5,4,1,1,1,1,7,1,7,0,1,1
79,595b93be7882150001240e21,1,09/26/2020,16105,Pennsylvania,PA,60,1,1,4,6,6,6,6,4,4,6,3,6,0,1,6
80,597e78d513dc5e0001e2f818,1,09/26/2020,80640,Colorado,CO,65,1,1,4,5.5,6,2,5,3,5,5,3,6,0,1,6
81,597fe89a1b41a20001749f57,1,09/26/2020,46614,Indiana,IN,42,2,1,3,5.25,6,5,6,3,1,5,1,6,0,1,5
82,5987e920eef500000111e1ac,1,09/26/2020,94510,California,CA,60,2,2,3,6.75,7,6,6,3,1,7,1,7,0,1,3
83,59894fbbda239a0001fb8e16,1,09/26/2020,40502,Kentucky,KY,60,2,2,6,5,5,5,6,5,5,5,5,6,0,1,3
84,598ba20f716a2c000187ce01,1,09/26/2020,77047,Texas,TX,49,1,2,3,5.5,5,4,6,4,1,6,1,6,0,1,6
85,599314b360937e0001899338,1,09/26/2020,27262,North Carolina,NC,26,1,1,4,7,7,5,7,3,5,7,4,6,0,1,7
86,599323cdf9db7d00018955da,1,09/26/2020,92518,California,CA,59,1,1,2,6.5,7,6,6,5,5,6,4,6,0,2,2
87,599eaf0fbfd73c00010ea24e,1,09/26/2020,42635,Kentucky,KY,41,2,1,6,5.25,5,2,5,2,7,7,7,7,0,1,5
88,599ec7dc617ca80001fcd124,1,09/26/2020,2116,Massachusetts,MA,58,1,1,2,5.75,6,3,6,3,1,4,1,4,0,1,6
89,59a88f5b321f870001d16d68,1,09/26/2020,48001,Michigan,MI,56,1,2,4,5.25,5,4,5,3,4,5,4,5,0,2,4
90,59c0a297c458e800017b5499,1,09/26/2020,98275,Washington,WA,50,1,1,2,5.25,5,3,5,3,2,5,1,5,0,1,5
91,59c843b646f72100019067ce,1,09/26/2020,75231,Texas,TX,49,2,1,4,4.75,4,4,4,4,1,4,1,4,0,1,1
92,59c86f966a287600011c393e,1,09/26/2020,20852,Maryland,MD,51,1,2,2,5.75,6,5,5,6,1,5,1,5,0,1,6
93,59cc6c0246f7210001906b71,1,09/26/2020,59027,Montana,MT,63,1,2,2,5,5,3,5,4,1,6,1,6,0,1,1
94,59d75f1b8fd07a0001841feb,1,09/26/2020,45014,Ohio,OH,66,1,1,2,5,4,5,5,3,1,6,1,6,0,1,6
95,59dac44ecfaf7400016115b7,1,09/26/2020,28759,North Carolina,NC,74,1,2,5,4.75,4,4,5,3,4,6,4,6,0,0,6
96,59dc458f77860e000151240e,1,09/26/2020,53215,Wisconsin,WI,37,1,1,2,6.5,7,6,6,5,2,7,2,7,0,1,5
97,59f226a9d6380600018b2923,1,09/26/2020,91016,California,CA,56,2,1,2,4.25,4,3,6,4,4,4,3,5,0,1,1
98,5a0af6457ecfc50001be11da,1,09/26/2020,32712,Florida,FL,41,2,1,5,5.5,7,7,3,1,4,7,1,4,0,3,3
99,5a0efb83ab721b0001ef8509,1,09/26/2020,34653,Florida,FL,66,1,2,5,5.25,5,5,7,6,2,3,2,4,0,1,7
100,5a1f1b7ffe645f0001ea0c81,1,09/26/2020,85713,Arizona,AZ,33,1,1,5,5.5,6,4,3,3,4,5,3,6,0,1,6
101,5a5e2bbfacc75b00017a8d93,1,09/26/2020,97423,Oregon,OR,63,1,1,1,4,4,4,5,4,4,4,4,4,0,1,1
102,5a5f8cc7eedc32000142dcc3,1,09/26/2020,92880,California,CA,64,1,1,4,4.5,4,4,5,4,3,4,3,5,2,1,6
103,5a69b952f561b400011e188d,1,09/26/2020,46123,Indiana,IN,49,1,1,,5,6,2,6,4,1,7,1,7,3,3,2
104,5a6eac90d5d4cb0001d6815a,1,09/26/2020,91605,California,CA,26,2,1,6,4.25,5,3,6,5,2,5,2,4,0,1,6
105,5a7618b18fe2dc0001057243,1,09/26/2020,802031,Colorado,CO,39,2,1,2,4.25,4,4,6,6,3,5,5,5,0,1,5
106,5a7763a62a842c0001fc3358,1,09/26/2020,93560,California,CA,67,2,2,6,4.25,7,3,7,3,1,5,1,4,0,1,3
107,5a791168f49c9a0001f31061,1,09/26/2020,30083,Georgia,GA,42,1,1,6,6,6,7,5,6,5,5,1,5,2,2,5
108,5a79f14a8fe2dc00010593eb,1,09/26/2020,60613,Illinois,IL,30,2,1,4,4.75,5,4,4,3,3,6,3,5,0,3,6
109,5a7caab0aa46dd00016b5bb6,1,09/26/2020,32707,Florida,FL,70,2,2,4,5.75,6,5,6,6,3,5,1,4,0,1,5
110,5a7cb079aa46dd00016b5bfb,1,09/26/2020,78745,Texas,TX,35,2,1,7,5.75,5,4,4,3,3,6,3,6,0,1,4
111,5a8b61fcf1408d000176b02f,1,09/26/2020,76522,Texas,TX,62,2,2,4,6.25,6,3,7,6,4,6,4,7,0,1,7
112,5a9a6f5f35237b000112920f,1,09/26/2020,85019,Arizona,AZ,52,2,1,1,7,7,7,7,7,7,7,7,7,0,1,7
